roundness,aspect_ratio,narrow_factor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,mean_R,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.33974,1.2762,1.1731,0.1786,0.001824,0.000129,0.000002,0,0,72.113,4.2248,12.735,13.576,9.5719,-0.087588,-0.06929,3.4531,18.98,0.13031,0.99106,0.26612,0.9382,2
0.29891,1.1663,1.2301,0.1816,0.000768,0.000167,0.000006,0,0,69.015,1.3837,13.272,14.787,6.3506,0.3904,0.23747,6.6299,58.41,0.11924,0.9924,0.30541,0.94256,2
0.28985,1.149,1.2397,0.1787,0.000608,0.000077,0.000004,0,0,74.77,2.174,12.624,14.735,8.0314,0.14641,0.019983,5.7718,47.119,0.13316,0.9909,0.27734,0.9362,2
0.2334,1.2387,1.2199,0.17647,0.001385,0.000158,0,0,0,74.175,14.45,12.23,13.435,14.113,-0.002527,-0.07541,1.2849,5.285,0.10932,0.99248,0.30758,0.94785,2
0.34156,1.2148,1.1749,0.17421,0.001121,0.000006,0,0,0,71.684,0.46677,12.653,14.083,4.3956,-0.23802,-0.24138,14.091,256.94,0.16336,0.98887,0.24892,0.92302,2
0.22825,1.2547,1.2325,0.18509,0.001705,0.000539,0.000002,0,0,78.534,2.1081,15.503,15.444,8.0804,0.056433,-0.31616,6.1,52.928,0.10319,0.99234,0.33845,0.95081,2
0.22505,1.2001,1.229,0.17538,0.001001,0.000112,0.000001,0,0,77.791,0.72289,16.978,16.143,5.7019,0.3455,-0.1071,11.084,151.07,0.11739,0.99159,0.31191,0.94301,2
0.32935,1.2138,1.1339,0.17334,0.001101,0.000067,0,0,0,75.301,1.2498,13.002,14.057,6.2447,-0.15142,-0.16773,7.9759,88.803,0.13805,0.9897,0.25791,0.93443,2
0.22084,1.1961,1.1787,0.172,0.000929,0.000088,0.000001,0,0,76.158,14.981,13.204,14.198,14.394,0.56419,0.156,1.1045,4.7199,0.12228,0.99137,0.27888,0.94071,2
0.19916,1.2837,1.1884,0.17984,0.001936,0.000015,0.000001,0,0,77.351,1.093,14.543,14.657,6.1463,0.28783,-0.091068,8.8784,106.03,0.11595,0.9915,0.30335,0.94379,2
0.27438,1.27,1.2543,0.18543,0.001891,0.000231,0.000002,0,0,80.788,6.772,17.57,18.563,14.383,-0.048248,-0.049843,2.4726,9.0479,0.10485,0.99253,0.30727,0.94939,2
0.22786,1.2064,1.219,0.17905,0.001103,0.000163,0.000001,0,0,99.263,29.497,16.99,17.369,24.467,-0.21782,-0.24188,0.39648,2.2844,0.080774,0.99292,0.32683,0.9611,2
0.25287,1.3128,1.1875,0.17922,0.002266,0.000116,0.000001,0,0,92.168,30.216,17.161,17.458,23.924,-0.25482,-0.27542,0.26744,2.1254,0.084746,0.99284,0.31454,0.95933,2
